geneid,term,,,,,,,,,,,,
C4B63_59g51,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g202,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g274,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g297,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g308,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g372,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g380,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g39,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g398,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g424,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g43,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g641,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g692,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g698,cortical cytoskeleton,,,,,,,,,,,,
C4B63_5g72,cortical cytoskeleton,,,,,,,,,,,,
C4B63_62g138,cortical cytoskeleton,,,,,,,,,,,,
C4B63_62g175,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g174,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g54,cortical cytoskeleton,,,,,,,,,,,,
C4B63_66g58,cortical cytoskeleton,,,,,,,,,,,,
C4B63_67g98,cortical cytoskeleton,,,,,,,,,,,,
C4B63_68g77,cortical cytoskeleton,,,,,,,,,,,,
C4B63_69g41,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g106,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g129,cortical cytoskeleton,,,,,,,,,,,,
C4B63_74g137,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g23,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g26,cortical cytoskeleton,,,,,,,,,,,,
C4B63_88g96,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g101,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g141,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g167,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g179,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g181,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g253,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g75,cortical cytoskeleton,,,,,,,,,,,,
C4B63_8g80,cortical cytoskeleton,,,,,,,,,,,,
C4B63_91g63,cortical cytoskeleton,,,,,,,,,,,,
C4B63_96g27,cortical cytoskeleton,,,,,,,,,,,,
C4B63_96g81,cortical cytoskeleton,,,,,,,,,,,,
C4B63_98g33,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g81,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g82,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g83,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g84,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g85,cortical cytoskeleton,,,,,,,,,,,,
